Mercuria	generalization	layer
Microleve Corsario	generalization	ultralight
Authority	generalization	statutory authority
Authority	generalization	body
Ponmuttayidunna Tharavu	generalization	drama film
Barbara of the House of Grebe	generalization	second
Holt	generalization	market town
molecule	generalization	carboxylic acid
section	generalization	aspartic acid
Corsair	generalization	fictional character
Improvised Electronic Device	generalization	album
father	generalization	Jazz pianist
Tamkang University	generalization	private university
Tamkang University	generalization	comprehensive university
system	generalization	system designed
system	generalization	sets
transmission tower	generalization	structure
police procedural	generalization	subgenre
Theological College of Northern Nigeria	generalization	Christian college
barograph	generalization	aneroid barometer
Communications Act of 1934	generalization	United States federal law
Girls Club	generalization	television series
Coyote	generalization	ultralight trike
Coimbatore	generalization	city
Coimbatore	generalization	cities
piston-cylinder apparatus	generalization	device
Sun Chips	generalization	brand
La Maigrauge Abbey	generalization	monastery
Horse meat	generalization	culinary name
Horse meat	generalization	meat
Koninklijke Luchtvaart Maatschappij N.V.	generalization	airline
Koninklijke Luchtvaart Maatschappij N.V.	generalization	airline
kilogram	generalization	unit of
kilogram	generalization	SI base unit
cartridge	generalization	rifle cartridge
Listowel	generalization	market town
Laban rayeb	generalization	type
Apis	generalization	bull-deity
Cheese	generalization	work
Cheese	generalization	cultural history
Cheese	generalization	history of mentalities
Cheese	generalization	example
Shadwell	generalization	village
It	generalization	studio album
Weston-super-Mare	generalization	seaside resort
Istanbul Commerce University	generalization	university
Istanbul Commerce University	generalization	private universities
Socialists	generalization	Trotskyist organisation
Bamboo charcoal	generalization	material
Odyssey	generalization	feature film
Kids Against Hunger	generalization	nonprofit organization
Page	generalization	business magnate
Page	generalization	inventor
Ollantaytambo	generalization	town
Ollantaytambo	generalization	tourist attraction
Ollantaytambo	generalization	starting points
Kaput and Zösky	generalization	comic book series
that	generalization	term
Föhr	generalization	North Frisian Islands
Föhr	generalization	island
Battle Network	generalization	video game
Battle Network	generalization	title
Barbera d'Asti	generalization	red wine
plumb-bob	generalization	weight
plumb-bob	generalization	equivalent
It	generalization	flatbread
RantMedia	generalization	organization
RantMedia	generalization	radio station
teponaztli	generalization	type
Missouri State Fair	generalization	state fair
Missouri State Fair	generalization	show
Finance Act 1965	generalization	Act
War Machine	generalization	novel
Misery Me	generalization	television movie
Paratroopers	generalization	types
BrickFair	generalization	convention
BrickFair	generalization	event
AMP Centre	generalization	skyscraper
AMP Centre	generalization	Peddle Thorp
Sara Little Turnbull	generalization	product designer
survey	generalization	panel study
cuisine	generalization	cuisine of South India
cuisine	generalization	cuisine
hull	generalization	hull
Shelby Corcoran	generalization	fictional character
Tripoli Monument	generalization	monument
planarian	generalization	common name
Church	generalization	church in
Horacio Carabelli	generalization	sailor
origin of Vijayanagara empire	generalization	topic
Sabayon Linux	generalization	Linux distribution
Quezon	generalization	municipality
Quezon	generalization	border town
Protestant Church	generalization	church in
Protestant Church	generalization	church in
lungeing	generalization	component
opponent	generalization	school of thought
Lyons	generalization	Statutory Town
Hughes Corporation	generalization	real estate development
Turhan Taşan	generalization	musician
jebena	generalization	container
automotive battery	generalization	type
